x,predicted,std.error,conf.low,conf.high,group,facet,panel
3.33,0.7032417491806182,1.0623111296929757,0.08767257707240347,5.64086256278514,1845.48,-0.14,5.78
3.33,0.8138284068551609,1.0545211071361087,0.10302030971256573,6.428991309114888,1845.48,1.16,4.32
3.33,0.9814160053103006,1.048311989381093,0.1257558952284789,7.659103167523753,1845.48,1.16,4.95
3.33,1.2559992882499826,1.0515223157118037,0.15993075057083764,9.863857991373152,1845.48,1.16,5.78
3.33,1.1785596508803837,1.0599886856578271,0.14760040987918882,9.410562286515281,1845.48,1.99,4.32
3.33,1.4212545234892273,1.055892964721465,0.17942962063260823,11.257697661160284,1845.48,1.99,4.95
3.33,1.8188970429111078,1.0618077272911572,0.2269842591194102,14.575400362764013,1845.48,1.99,5.78
3.33,0.5540421682415889,1.0830718753027497,0.06631783937744404,4.628659906164629,1894.86,-0.14,4.32
3.33,0.6681332906899741,1.0736507477471566,0.08146478924045954,5.479693721548444,1894.86,-0.14,4.95
3.33,0.8550654697111841,1.072333743527881,0.10452669800177819,6.9947388702546585,1894.86,-0.14,5.78
3.33,0.9895268160383154,1.0665889632531929,0.12233349867909657,8.004049015449587,1894.86,1.16,4.32
3.33,1.1932951059013353,1.060268938724104,0.14936378229018696,9.533457093377523,1894.86,1.16,4.95
3.33,1.5271585093116415,1.0632046275543734,0.19005648662903812,12.27115766437947,1894.86,1.16,5.78
3.33,1.4330003340058504,1.0729802824087293,0.17495397708790306,11.737315101040162,1894.86,1.99,4.32
3.33,1.7280908992141428,1.0687542139653206,0.21273617521838653,14.037566261972744,1894.86,1.99,4.95
3.33,2.211580948038422,1.074362122808546,0.26928002756488095,18.163583589756044,1894.86,1.99,5.78
4.42,0.20770355133753426,1.1050939036564704,0.023811474311674085,1.8117637183462028,1602.4,-0.14,4.32
4.42,0.2504749010054209,1.0977880894945695,0.029128981367348684,2.1537888758444343,1602.4,-0.14,4.95
4.42,0.32055346120815054,1.099035292123148,0.03718775267081359,2.7631280223386843,1602.4,-0.14,5.78
4.42,0.3709613556801708,1.0814001372089186,0.044549127669289326,3.0890016170380705,1602.4,1.16,4.32
4.42,0.4473515654522008,1.0771301569988248,0.05417439993803021,3.6940588791284217,1602.4,1.16,4.95
4.42,0.5725128230691822,1.0825938237731614,0.06859298219063785,4.778490774284802,1602.4,1.16,5.78
